field_1,id,content,summary,explanation,clean_content,url,parent_url,postcodes,partition_id,label_id,label_name,label_description,postcode_count,postcode_clean,lat,lon
5,293941,"zenith bank uk - in your best interest
internet banking
personal
trade services
accounts receivable
bill discounting
contract guarantees
documentary collections
letters of credit
payments
receivables discounting
corporate
overview
products & services
treasury
capital markets
treasury services
custody
wealth management
investment services
investment mortgages
additional services
savings
why us?
board of directors
executive team
committees
careers
statutory accounts & tax strategy
contact us
login to internet banking
personal learn more
search login
internet banking
personal
trade services
accounts receivable
bill discounting
contract guarantees
documentary collections
letters of credit
payments
receivables discounting
corporate
overview
products & services
treasury
capital markets
treasury services
custody
wealth management
investment services
investment mortgages
additional services
savings
why us?
board of directors
executive team
committees
careers
statutory accounts & tax strategy
contact us
fixed rate savings
watch your money grow with our fixed rate saver. you choose how long you want to save for and we guarantee you a fixed rate of interest.
learn more
investment mortgage
property investments have long been regarded as the foundations of a balanced and well-diversified portfolio
learn more
privacy policy
in line with the new gdpr regulations we have updated our privacy policy. this policy provides you with details as to how we use and process your data and your associated rights.
learn more
trade services
corporate
treasury
wealth
savings
trade services
at the heart of zenith uk’s operation is the trade finance business. as a customer you can benefit from the expertise of our experienced trade specialists.
learn more
corporate services
no matter how large or small your business may be, if you want to trade inside or outside of sub-saharan african, we can provide the banking services you need.
learn more
treasury management
effective cash management strategies, foreign exchange expertise and imaginative currency hedging solutions reduce your costs on treasury management.
learn more
wealth management
our wealth management service includes guidance on property acquisition, wealth protection strategies, and personalised private banking facilities.
learn more
scam alert
internet banking
work with us
support
scam alert
zenith bank (uk) ltd will never ask for information concerning your pins or passwords via email
internet banking
handle all your corporate banking functions from one place and amaze yourself at how much easier it can be to run your world.
work with us
when you want a bank that has a deep understanding of doing business in africa and a substantial presence within the continent's markets, talk to us.
support
zenith bank (uk) ltd, 39 cornhill london, ec3v 3nd tel: +44 (0)20 7105 3950 fax: +44 (0)20 7105 3999 info@zenith-bank.co.uk
our values
accreditations
quick links
governance
privacy policy
financial services compensation scheme
pillar 3
mitigating fraud
customer complaints
switching service
best execution policy
statement of commitment to the uk money markets code
quick links
contact us
careers
capital markets
corporate
letters of credit
wealth management
statutory accounts & reports
psd2 support (mci integration)
news
news page 1
news page 2
news page 3
© 2021 zenith bank plc | privacy policy | sitemap
scroll up
gambia | ghana | nigeria | sierra leone
send this to friend
your email recipient email
send
cancel","Trade finance, corporate services, wealth management, investment services, internet banking, cash management, foreign exchange, currency hedging.","I focused on listing the main services offered, being concise and clear, and avoiding location-specific information.","At the heart of Zenith UK's operation is the trade finance business. 
Our trade services include bill discounting, contract guarantees, documentary collections, letters of credit, and receivables discounting. 
We offer corporate services such as cash management, foreign exchange, and currency hedging. 
Our wealth management service includes guidance on property acquisition, wealth protection strategies, and personalized private banking facilities. 
We provide investment services, including mortgages and savings accounts. 
Our internet banking services allow customers to manage their accounts online. 
We have a range of services for personal and corporate customers.",https://zenith-bank.co.uk/,zenith-bank.co.uk,['EC3V 3ND'],839,1,Wealth Management,"Services related to wealth management, including financial planning and investment advice.",true,EC3V 3ND,51.513229,-0.087134
75,298776,"welcome to the financial planning from abrdn wrap platform
client login	adviser login
abrdn financial planning and advice limited is registered in england (01447544) at bow bells house, 1 bread street, london, england, ec4m 9hh and is authorised and regulated by the financial conduct authority.",Financial planning and advice services,"I focused on the key service mentioned, which is financial planning and advice, omitting the company name and location details.",abrdn financial planning and advice limited,https://abrdn-f.wrapadviser.co.uk/,abrdn-f.wrapadviser.co.uk,['EC4M 9HH'],838,2,Financial Planning,"Comprehensive financial planning services, including retirement planning, wealth management, and investment advice.",true,EC4M 9HH,51.513798,-0.094475
172,306192,"company secretary recruitment, governance jobs | core partnership
+44 (0)20 3589 0333
core partnership
company secretary recruitment – core partnership
close
search for:
search
home
about us
core team
jon moores
henrietta hodgkiss
mariza dimaki
henry rymer
sophie burgess
lucy packer
core values
services
working with clients
working with candidates
jobs
blog
contact us
menu
company secretary, corporate governance and compliance recruitment
your candidate or job search starts and ends with us
find candidates
find a job
what we do
we recruit company secretaries, governance and compliance people. that’s all we do.
we are an independent, values-driven recruiter covering all levels in this niche market (both temporary and permanent positions) across the uk and internationally.
how we work
solid relationships are core to our business and have been built over decades.
we don’t take these relationships for granted. we work with people throughout their careers and take pride in going the extra mile on each assignment. we work harder and in true partnership with you.
what our clients say
client-001
“... both efficient and professional, the calibre of candidates clearly understood. the communication lines remain open.”
in the midst of a major corporate exercise, the secretariat obtained sound temporary assistance from a well-matched interim manager.”
client-002
“i have worked with jon on a couple of occasions and always found him to be highly professional and capable.
“the core partnership has successfully completed the assignments we have worked on together.”
client-003
“core provides a superior service by selecting candidates that are both appropriate to the role and to the organisation.”
“the core partnership makes the recruitment process as painless as possible.”
clients-004
“...prompt, helpful, professional and understanding.”
“understands the specialist needs of company secretarial departments and brings a professional attitude to the selection of candidates.”
clients-005
“introduced an excellent interim company secretary who we were able to onboard remotely due to coronavirus.”
“...keeps in contact and invests the time needed to ensure a successful assignment for clients and candidates.""
what our candidates say
candidate-001
“jon has placed me in my last two senior executive positions and i would highly recommend him.”
“i have known jon for many years and always valued his unbiased advice on career and resourcing matters.”
candidate-002
“proactive, knowledgeable and dedicated in helping me find a great new role. highly recommended.”
“i have known jon as a candidate and an employer and can honestly say i have never been disappointed.”
candidate-003
“i’ve felt totally supported the whole way through the process.”
“the core partnership makes the recruitment process as painless as possible.”
companies we’ve helped
just a few of the the companies that we’ve helped over the years
browse jobs
search, find and apply for jobs directly on your mobile device or desktop. manage all of the jobs you have applied to from a convenience secure dashboard.
browse jobs
have a question?
we’re here to help
contact us
we recruit company secretaries, governance and compliance people.
that’s all we do.
recent news
company secretarial recruitment market review q4 2021
company secretarial recruitment market review q2 2021
the core partnership
4th floor
33 cannon street
london
ec4m 5sb
+44 (0)20 3589 0333
team@core-partnership.co.uk
© 2010 - 2021 the core partnership ltd | privacy policy
linked in twitter
back to top
<# } #>
by continuing to use the site, you agree to the use of cookies. more information
accept
the cookie settings on this website are set to ""allow cookies"" to give you the best browsing experience possible. if you continue to use this website without changing your cookie settings or you click ""accept"" below then you are consenting to this.
close","Recruitment services for company secretaries, governance, and compliance personnel.","I focused on the main services provided, omitting location details and company name.","We are an independent, values-driven recruiter covering all levels in this niche market (both temporary and permanent positions) across the UK and internationally. 
We recruit company secretaries, governance and compliance people. 
Our services include finding candidates and helping clients with their recruitment needs. 
We work with people throughout their careers and take pride in going the extra mile on each assignment. 
Our goal is to provide a superior service by selecting candidates that are both appropriate to the role and to the organisation.",https://www.core-partnership.co.uk/,www.core-partnership.co.uk,['EC4M 5SB'],543,2,Finance and Accounting,"Recruitment services for finance, accounting, and banking.",true,EC4M 5SB,51.512754,-0.09498
248,238702,"home | the lindsell investment trust plc
about us
investment objective and policy
aifm & investment manager
advisers
trust characteristics
board & policies
performance
share price information & performance
monthly manager reports
corporate information
annual & interim reports
announcements (rns)
calendar
dividends
terms of reference
shareholder information
key information document
esg
rns email alerts
how to invest
contact
search visit frostrow capital visit lindsell train
about us
investment objective and policy
aifm & investment manager
advisers
trust characteristics
board & policies
performance
share price information & performance
monthly manager reports
corporate information
annual & interim reports
announcements (rns)
calendar
dividends
terms of reference
shareholder information
key information document
esg
rns email alerts
how to invest
contact
the lindsell train investment trust plc
established to provide investors with the opportunity to share in lindsell train limited's potential growth
find out more visit lindsell train limited
the company provides investors with the opportunity to share in the potential growth of lindsell train limited (""ltl"") and a portfolio of world class equities. the trust is listed on the london stock exchange and its board comprises four independent directors together with michael lindsell.
find out more about us
annual report and financial statements - march 2021
view annual report
share price
view share price detail
factsheets
october 2021 monthly manger report
download
september 2021 monthly manager report
download
august 2021 monthly manager report
download
view factsheet archive
key information document
this document provides you with key information about this investment product.
find out more
£1,185.58
our net asset value*
£272.93
earnings per ordinary share*
£50
dividends per share year to 31 march 2020
key financial data *as of 31 march 2021
register for email alerts
read the latest regulatory news service (rns) announcements from the lindsell train investment trust plc.
rns email alerts
the lindsell train investment trust plc
frostrow capital llp
25 southampton buildings
london, wc2a 1al
tel.: 0203 008 4910
disclaimer
the lindsell train investment trust plc conducts its affairs so that its shares can be recommended by independent financial advisers (ifas) to retail private investors. the shares are excluded from the financial conduct authority's (fca's) restrictions which apply to non-mainstream investment products because they are shares in a uk-listed investment trust.
sitemap
terms
privacy
cookies
modern slavery act
accessibility
© 2021 the lindsell train investment trust plc. all rights reserved.
registered in england and wales (number: 04119429)",Investment trust providing long-term capital growth through equities and portfolio management.,"I focused on the company's economic activity, omitting location and specific details, to create a concise summary.","The Lindsell Train Investment Trust Plc is a listed investment trust that provides investors with the opportunity to share in the potential growth of Lindsell Train Limited and a portfolio of world-class equities. 
The trust is listed on the London Stock Exchange and its board comprises four independent directors together with Michael Lindsell. 
The company provides investors with the opportunity to share in the potential growth of Lindsell Train Limited and a portfolio of world-class equities. 
The investment objective and policy of the trust is to provide long-term capital growth. 
The trust's net asset value and earnings per ordinary share are disclosed, along with dividend payments. 
The company also provides monthly manager reports, annual and interim reports, and key information documents.",https://www.ltit.co.uk/,www.ltit.co.uk,['WC2A 1AL'],838,0,Investment Management,"Services related to managing investments, including portfolio management and financial planning.",true,WC2A 1AL,51.51735,-0.111696
252,239287,"home - cox financial home - cox financial
tel: 020 3876 2670
tel: 020 3876 2670
toggle navigation
home
investments
mortgages
protection
tax
pensions
contact
cox financial provides one-to-one financial advice and expert servicing of all your pensions, investments, tax affairs, insurance, and mortgages.
whether investing for income or growth, saving for retirement or protecting your wealth, cox financial offers a bespoke and discreet service whatever your requirements.
investments mortgages protection tax pensions
cox financial limited is authorised and regulated by the financial conduct authority. fca registered number: 714717.
registered in england: 09709519. registered office: 28 king st, london, ec2v 8eh
copyright © 2020 cox financial limited. all rights reserved | 28 king st, london, ec2v 8eh
privacy policy
this website uses cookies that provide necessary site functionality and improve your online experience. by continuing to use this website, you agree to the use of cookies. our privacy statement provides more information about what cookies we use and how you can change them. find out more.
ok","Financial advice and expert servicing for pensions, investments, tax, insurance, and mortgages.","I focused on the specific services mentioned, omitting the company's name and location details.","Cox Financial provides one-to-one financial advice and expert servicing of all your pensions, investments, tax affairs, insurance, and mortgages. 
They offer a bespoke and discreet service for investing, saving for retirement, or protecting wealth.",https://www.coxfinancial.co.uk/,www.coxfinancial.co.uk,['EC2V 8EH'],839,1,Wealth Management,"Services related to wealth management, including financial planning and investment advice.",true,EC2V 8EH,51.514626,-0.092322
292,241718,"racenews – racenews works with some of the world’s top racecourses, racing authorities and other clients to help promote racing.
racenews
welcome
about us
services
clients
get in touch
menu
welcome
about us
services
clients
get in touch
looking for the news from our racecourse work?
visit racenewslive.co.uk
racenews works with some of the world’s top racecourses, racing authorities and other clients to help promote racing.
welcome
about us
heritage
service
knowledge
founded in 1990, racenews has established itself as the leading pr and news agency in the horseracing industry. we help promote the sport with some of the top organisations in the uk and internationally.
the services we provide range from one-off news stories, press releases and comprehensive media guides, through to helping implement full-scale communication strategies.
our depth of knowledge and expertise is widely regarded as the best in the industry, and we pride ourselves on our relationships across the racing world.
services
news	
we have established ourselves as the leading producer of media releases and news stories in racing, with over 30 years of experience in the industry.	
information	
our packs and guides are recognised as the best in the business, with a wealth of facts and statistics to help the media throughout the racing calendar.	
live reporting	
we cover racing’s crown jewel meetings, creating a stream of live news at premier fixtures including royal ascot and the qatar goodwood festival.
distribution	
our comprehensive mailing lists are constantly monitored to ensure that the right people receive the right information, both locally and internationally.	
event management	
we provide a range of services to our clients to maximise event exposure, ranging from stable visits through to press conferences and awards ceremonies.	
client support	
whether it's help writing a release or advising on planning and implementing campaigns, we love working with our clients to ensure the best possible results.	
our clients include
get in touch
join our mailing list
info@racenews.co.uk
+44 (0) 207 704 0326
name	
email	
send
unit 107
1 quality court
london
wc2a 1hr
twitter instagram youtube","Promotes racing through news, live reporting, event management, and client support services.","I focused on the company's services and activities, omitting location and company name, to create a concise summary.","Racenews works with top racecourses, racing authorities, and clients to promote racing. 
Founded in 1990, Racenews has established itself as the leading PR and news agency in the horseracing industry. 
The company provides services including news, information, live reporting, event management, and client support. 
Racenews produces media releases and news stories, creates comprehensive guides, and offers expertise in promoting racing events.",http://racenews.co.uk/,racenews.co.uk,['WC2A 1HR'],249,5,Business and Finance,"Events, activities, and services related to business and finance.",true,WC2A 1HR,51.516928,-0.111742
328,243850,"contact an executive search partner in uk interim management
menu
executive search
interim management
leadership consulting
news & insights
back
news & media
insights
media contact
about us
back
message from the president & ceo
boyden leadership
your career
our dei initiatives
a brief boyden history
setting the standard
contact us
search
search site
practices
partners
locations
search
english
deutsch
español
français canadien
italiano
русский язык
uk interim
back
values & ethos
ir35 for interim managers
for clients
back
strategic objectives
the boyden difference
for candidates
back
candidate profile
tips & advice
submit cv
team
case studies
local insights
news & media
insights
events
candidate resources
contact
boyden uk interim management
uk interim management africa east africa south africa asia / pacific australia interim management hong kong indonesia japan melbourne mumbai pune shanghai shenzhen singapore south korea sydney taiwan thailand europe aarhus austria azerbaijan barcelona brussels bulgaria copenhagen czech republic düsseldorf cecilienallee düsseldorf holzstrasse düsseldorf interim finland france france interim management frankfurt ghent greece and cyprus hungary ireland ireland interim management italy lisbon madrid munich munich interim netherlands norway norway interim management poland porto romania russia serbia slovakia slovenia stuttgart interim sweden turkey uk interim management ukraine united kingdom valencia zurich latin america brazil colombia mexico perú middle east egypt uae north america atlanta boston calgary california chicago edmonton houston miami montréal new york metro ottawa pittsburgh princeton saskatoon seattle toronto vancouver washington d.c.
+44 20 3651 6993
uk@boyden.com
10 philpot lane
5th floor
london ec3m 8aa
united kingdom
learn more
menu
terms & conditions
privacy policy
sitemap
© 2021 boyden – all rights reserved
this website uses cookies to ensure you get the best experience on our website. learn more
accept","Executive search, interim management, and leadership consulting services.",I focused on the specific services mentioned in the input text.,"The company provides executive search, interim management, and leadership consulting services. 
They offer expertise in various sectors and have a global presence. 
Their services include executive search, interim management, and leadership consulting. 
They also provide insights, news, and resources for candidates and clients.",https://www.boydeninterim.co.uk/uk-interim/contact/index.html,www.boydeninterim.co.uk,['EC3M 8AA'],39,0,Accounting Services,General accounting services including bookkeeping and financial statement preparation.,true,EC3M 8AA,51.511032,-0.084229
418,252319,"home - global trade invest
open menu
home
faqs
terms and conditions
contact us
login
register
home
faqs
terms and conditions
contact us
login
register
your guide in the world of
finance
welcome to global trade invest services
get started
leave investing problem to us
and just focus on your
life
login
welcome to
global trade invest
steady profits for investors
contact us
about us
looking for highest returns on your investments? global trade invest is an automatic online investment platform â€“ global trade invest is a cryptocurrency investment company. the company is well financed and management has a wealth of experience in all aspects of cryptocurrency investment and development.
global trade invest is also a place to invest and earn profits with stable percent. the company employ the uttermost skills, experiences and professional tactics in stock, forex traders and gold trading. our focus is to offer to individuals an exclusive funds management service. we are looking forward to have a long-term relationship with the investors and in turn we will do our best to provide quality services to our members. our opinion about investing, as a rule, is all about managing risks. for us, it means also, to provide our clients fast returns and payouts on time, and so share profits together and as a result, earn up more. the only way to guarantee our growth is to ensure that our investors grows first and this is the reason why we care about investors and their investment
safe and secure
our website using comodo ssl security, ssl encryption and that confirms that the presented content is the genuine and legitimate.
great customer support
we understand how important having reliable support service is to you. please don't hesitate to contact us if you have any questions and we will get back to you in 24 hours!
uk registered company
we are a legal company registered in uk providing its investment services to the members all around the world.
professional team
we are team of professional traders in forex & crypto exchange and coins trading and crypto mining who know how to grab the profit at the end of the day.
steady income
we work around the clock - this means that your money is constantly in circulation and your profit grows every hour.
instant withdrawal
get your payment instantly as soon as you request it!
investment plans
plan 1
20% after 24 hours.
minimum amount : $100
maximum amount : $500
referral bonus : 10%
get started
plan 2
40% after 3 days.
minimum amount : $550
maximum amount : $3,000
referral bonus : 10%
get started
plan 3
60% after 1 week.
minimum amount : $3,500
maximum amount : $10,000
referral bonus : 10%
get started
plan 4
80% after 1 month.
minimum amount : $20,000
maximum amount : unlimited
referral bonus : 10%
get started
mining plans
plan 1
40% after 1 week.
minimum amount : $1,000
maximum amount : $5,000
referral bonus : 10%
get started
plan 2
60% after 3 weeks.
minimum amount : $6,000
maximum amount : $20,000
referral bonus : 10%
get started
plan 3
100% after 3 months.
minimum amount : $30,000
maximum amount : unlimited
referral bonus : 10%
get started
how it works
create your account
register a free account and start your first step to passive income.
make your deposit
invest your preferred amount and get a stable daily income.
withdraw profits
withdraw your earnings whenever it is due.
cryptocurrency prices
1,490
members
24/7
days active
$3,974,405.00
total deposited
$1,143,775.00
total withdrawn
what investors say
â€œ
i love the investment plans arrangement and duration and above all the quick payments
daniella
for me these the best crypto company you can invest with 99% guaranteed.. invest today and make your profit
oscar
label
paul smith
profit calculator
amount*
plan*
--seelct plan-- investment plan 1 :20% after 24 hours (amount : $100 - $500) investment plan 2 :40% after 3 days (amount : $550 - $3,000) investment plan 3 :60% after 1 week (amount : $3,500 - $10,000) investment plan 4 :100% after 1 month (amount : $20,000 - unlimited) mining plan 1 :40% after 1 week (amount : $1,000 - $5,000) mining plan 2 :60% after 3 weeks (amount : $6,000 - $20,000) mining plan 3 :100% after 3 months (amount : $30,000 - unlimited)
looking for highest returns on your investments? global trade invest is an automatic online investment platform â€“ team of professional traders focusing mainly on bitcoin and other crypto currencies trading over multiple exchanges and markets.
contact info
[email protected]
office 3.05 1 king street, london, united kingdom, ec2v 8au
certificate
home | faqs | terms | contact
copyright 2015 all right reserved","Online investment platform offering various plans with fixed returns and durations, including cryptocurrency and mining investments.","I focused on the company's economic activities, services, and outputs, omitting location details and formatting the summary to be concise and clear within the 20-word limit.","Global Trade Invest is an automatic online investment platform. 
The company is well-financed and has a team with experience in cryptocurrency and investment. 
They offer various investment plans with different returns and durations, 
such as 20% after 24 hours, 40% after 3 days, 60% after 1 week, and 80% after 1 month. 
They also have mining plans with returns of 40% after 1 week, 60% after 3 weeks, and 100% after 3 months. 
The company claims to have a professional team, a secure website, and a customer support team. 
They also mention that they have a UK registered company and offer instant withdrawals.",https://globaltradeinvest.co.uk/,globaltradeinvest.co.uk,['EC2V 8AU'],838,0,Investment Management,"Services related to managing investments, including portfolio management and financial planning.",true,EC2V 8AU,51.513923,-0.092236
527,315486,"home - nextwealth - next wealth
about us
services
publications
events
blog
contact us
live 2022
directory
helping financial institutions adapt to what’s next in wealth
mps quarterly asset report
a report based on tracking the changes to assets in mps.
read more
financial advice business benchmarks
free report based on a comprehensive annual survey of financial advisers on technology, business and the future of advice.
download now
new: esg tracking study 2021
nextwealth has published its third esg tracking study report for financial advice businesses. this report digs deep into the world of esg.
download now
about us
nextwealth is a specialist research and consultancy dedicated to helping firm adapt to what’s next in wealth.
we have a genuine passion for wealth management and want to make the industry work better for financial advisers and consumers. we do this through unrivalled research, insight, consultancy and thought-leadership to help our clients thrive by turning ideas into action and change.
we are experts on the financial advice market, specially focusing on investment propositions and adviser tech.
financial adviser tech:
adviser tech stack, including back office systems, platforms, cash flow modelling, etc.
key functionality of major providers
likes and dislikes, based on over 1,700 reviews from financial advisers
investment propositions:
discretionary managed model portfolios, assets on platform, assets by dfm, charges, profile of users
the rise of segregated mandates, or sub-advised, in retail
portfolios for decumulation and retirement advice
please subscribe to our newsletter and get in touch for more information.
contact us: enquiries@nextwealth.co.uk
find out more
we’re passionate about what we do
services
syndicated and bespoke research, consultancy and thought leadership content
more info
our team
find out more about the nextwealth
team
more info
events
links to events we are speaking at and information on our own events
more info
testimonials
“nextwealth has the most comprehensive research on discretionary mps and has offered valuable insight to our business on market trends and the competitive landscape. we’ve used the report in developing our proposition, training staff and to refine our sales pitch.”
rob gleeson
cio, fe fundinfo
“next wealth have effectively pulled together an extremely useful assessment of the evolving digital processing landscape. they have created measures that accurately reflect the status quo, provide a benchmark of progression and goals for firms to strive toward.”
sam anderson
marketing manager, transact
“undertaking a survey of nearly 160 advisers was a daunting task for us. we didn’t know where to begin, or what questions to ask, and partners never seemed to follow through when we had undertaken this sort of the thing in the past. heather and nextwealth did everything – with almost no time or effort for us. the best part was that i could completely trust them to produce a comprehensive set of meaningful results. their format provides us with the confidence to implement new techniques immediately, with real insight into where we are as a business and where we need to focus our efforts going forward.”
tim sargisson
ceo, sandringham financial partners
the periodic table of
financial planning
the essential elements of financial planning
email
enquiries@nextwealth.co.uk
address
wework, no.1 poultry, london, ec2r 8ej. registered no. (11031595)
subscribe to our newsletter.
δ
at nextwealth we help firms thrive amid disruption. we help our customers adapt to what’s next in wealth.
follow
follow
quick links
about us
services
events
blog
legal bits
privacy policy
cookie policy
copyright © 2021 nextwealth
twitter
linkedin","Research, consultancy, and thought leadership in financial adviser technology, investment propositions, and discretionary managed portfolios.",I focused on the specific services and areas of expertise mentioned in the input text.,"Next Wealth is a specialist research and consultancy dedicated to helping firms adapt to changes in wealth. 
They provide unrivaled research, insight, consultancy, and thought leadership to help clients thrive. 
Their areas of expertise include financial adviser technology, investment propositions, and discretionary managed portfolios. 
They offer bespoke research, consultancy, and thought leadership content. 
Their services include syndicated and bespoke research, consultancy, and thought leadership content. 
They also provide insights into the financial advice market, focusing on technology, business, and future trends.",https://www.nextwealth.co.uk/,www.nextwealth.co.uk,['EC2R 8EJ'],838,8,Financial Advisory,"Services related to financial advice, including investment advice, financial planning, and wealth management.",true,EC2R 8EJ,51.513338,-0.091079
530,315589,"about us – fisg
home
about us
login
home
about us
about us
furness insurance services group of companies (fis) – established 2003 – provide specialty solutions to the insurance industry:
underwriting
broking
claims handling
being part of furness team
our team is key to fis’s existence and its mission. continuous personal and professional development represent the core of furness comprehensive human resources development program:
attracting and retaining the best talents in the industry: we provide our team with the resources designed to help them succeed through a comprehensive talent program, comprised of performance management, career management, and professional development. in addition, our people receive regular feedback and coaching to improve their performance and their experience.
continuous professional development: we continue to learn and develop as the needs of our business change. whether a team member requires role-specific training, foundational skills training or leadership training, fis offers internal technical training, access to the 16,000+ courses including, foreign language courses, tutoring and much more.
rewarding performance: in return for everything our they do for the business, we recognise individuals through our quarterly team and individual rewards program.
looking after our health: the wellbeing of our team is paramount to us. for this reason, in addition to the private health insurance which they can opt-in to, we also provide free of charge mental health support services should they require it.
birthdays and work anniversaries: we celebrate the birthdays and the long-term work anniversaries of our team with gift vouchers which they can donate to a charity of their choice, should they wish to.
being aware, involved, supportive of our community
at fis we believe that those who can do more for others, should do more. fis actively supports organizations that serve the less fortunate members of our communities by tackling basic needs like food, shelter, assistance. these challenges are complex, and no one company alone can solve them. so we work across sectors to create solutions with lasting impact.
charities: the charities that we have supported are in the areas of hunger relief and food security, safe housing for vulnerable children, covid-19 relief:
● the felix project, that in 2020 delivered 21.1 million meals (london, uk)
● banco alimentare, that provides food to 7,448 frontline charitable entities (milan, italy)
● sos villaggio dei bambini, that grants safe housing for vulnerable children (saronno, italy)
● arpa fund, that in 2020 supplied emergency equipment to the hospitals most hit by the covid-19 pandemic (italy)
workplace giving: we encourage our team members to contribute to the communities where they live and work. the company facilitates employee donations all year-round.
voluntary work: our commitment to local communities is a key ingredient in the success of our corporate citizenship. in compliance with local lockdown restrictions, we encourage our team members to dedicate up to 16 hours of work time per year to volunteering in their local communities.
furness insurance services is registered in england and wales under company number 07161867 and its registered office is 50 fenchurch street, london ec3m 3jy, united kingdom. furness insurance services can be contacted by post at the address indicated above or by e-mail (info@fisg.co.uk).
home
about us
privacy policy
terms & conditions
on monday 31st may our offices will be closed due to the uk bank holiday
on monday 31st may our offices will be closed due to the uk bank holiday
on monday 31st may our offices will be closed due to the uk bank holiday
[gravityform id=""2"" title=""true"" description=""false"" ajax=""true""] no thanks
cookie notice
this website uses third-party profiling cookies to provide services in line with the preferences you reveal while browsing the website. by continuing to browse this website, you consent to the use of these cookies, as described in our privacy policy.ok","Provides specialty insurance solutions including underwriting, broking, and claims handling.","Focused on key services: underwriting, broking, claims handling, omitting non-economic details.","Furness Insurance Services Group (FIS) was established in 2003. 
FIS provides specialty solutions to the insurance industry, including underwriting, broking, and claims handling. 
The company focuses on continuous personal and professional development of its team members, offering a comprehensive talent program, performance management, and career development opportunities. 
FIS also supports community development through charitable donations, volunteer work, and partnerships with organizations that provide essential services. 
The company's mission is to make a positive impact through its business practices and community involvement.",https://fisg.co.uk/about-us/,fisg.co.uk,['EC3M 3JY'],855,4,Financial Services,"Services related to finance, accounting, and banking.",true,EC3M 3JY,51.511839,-0.080808
