Topic,Count,Name,Representation,Representative_Docs,label
-1,160,-1_gap_code_retirement_taxation,"['gap', 'code', 'retirement', 'taxation', 'invoice', 'progress', 'pensions', 'finances', 'accountancy', 'transfers']","[""Gap insurance gives you extra peace of mind when you buy a car, and it can save you money in the long run. \nIt covers the difference in price between what you paid for the car and the amount your insurer would pay if your car was written off or stolen. \nThe gap insurance can help you buy a new car or pay off any outstanding finance on your old car. \nThere are different types of gap insurance, including Return to Invoice, Vehicle Replacement, and Finance Gap. \nReturn to Invoice gap insurance pays the difference between the car's purchase price and its value at the time of the loss. \nVehicle Replacement gap insurance pays the cost of replacing the car with a new one of the same make and model. \nFinance Gap insurance covers the difference between the car's purchase price and the outstanding finance on the car. \nGap insurance can be purchased as a standalone policy or as an add-on to your existing car insurance policy. \nIt can provide valuable protection and peace of mind for car owners."", ""Gap insurance protects you from financial loss if your vehicle is written off or stolen. \nThe insurance covers the difference between the vehicle's market value and its original price or the outstanding finance. \nThere are different types of gap insurance, including Back to Invoice, Vehicle Replacement, and Contract Hire. \nEach type of insurance has its own benefits and is designed to meet specific needs. \nGap insurance can be purchased for various types of vehicles, including cars, vans, and motorhomes. \nThe insurance can be tailored to meet individual needs and provides peace of mind for vehicle owners."", ""Gap insurance protects you from financial loss if your vehicle is written off. \nShortfall insurance, also known as gap insurance, covers the difference between the vehicle's actual cash value and the outstanding loan or lease balance. \nThere are different types of gap insurance, including return to invoice, vehicle replacement, and combined alloy and tyre. \nGap insurance can be purchased as a standalone policy or as an add-on to an existing insurance policy. \nIt is designed to protect vehicle owners from financial loss in the event of a total loss or write-off. \nGap insurance can be tailored to meet individual needs and can be purchased for new or used vehicles. \nThe cost of gap insurance varies depending on the provider, policy, and vehicle. \nGap insurance can provide peace of mind and financial protection for vehicle owners. \nIt can be purchased online or through a broker. \nGap insurance is a type of insurance that can be purchased to protect vehicle owners from financial loss.""]",Accountancy and Pension Planning Services
0,11534,0_wealth management_cloud_retirement_pensions,"['wealth management', 'cloud', 'retirement', 'pensions', 'achieve objectives', 'support clients', 'building long term', 'understand needs tailored', 'self employed', 'investors']","[""Berry Wealth Management Ltd is a financial services company that provides advice and management for individuals and businesses. The company was formed in 2015 as a result of the partnership between Colin Henshaw and Berry Accountants. \n\nThe company offers a range of services including protection, savings and investments, pensions, and auto-enrolment. They pride themselves on their client-centric approach, aiming to provide personalized financial solutions.\n\nTheir services include financial planning, investment management, and retirement planning. The company emphasizes its commitment to understanding its clients' needs and providing tailored advice.\n\nBerry Wealth Management Ltd is authorized and regulated by the Financial Conduct Authority. The company is proud of its reputation for providing high-quality financial services and has received positive testimonials from its clients."", 'We are an accountancy firm that provides various services including cloud accounting, tax preparation, and financial management. \nOur team of experts can help with start-ups, small to medium-sized businesses, and e-commerce companies. \nWe offer services such as bookkeeping, invoicing, and expense tracking, as well as advice on tax planning and financial strategy. \nOur goal is to help businesses manage their finances effectively and make informed decisions about their operations. \nWe use cloud-based software such as Xero to provide our clients with real-time financial data and insights. \nOur services include accountancy, tax, and financial management, and we work with various software providers to ensure our clients receive the best possible solutions.', ""We are a team of accountants providing various services such as accountancy, tax, and payroll. \nWe offer a range of services including limited company accounts, company formations, VAT, confirmation statements, cash flow production, self-assessment tax returns, and sole trader accounts. \nOur team is dedicated to providing excellent customer service and support to our clients. \nWe use the latest cloud technology to provide efficient and secure services. \nOur services include free consultations and no-obligation meetings to discuss clients' needs. \nWe pride ourselves on our close relationships with our clients and provide personalized support. \nOur team is made up of experienced and qualified accountants who are committed to delivering high-quality services.""]",Digital Wealth & Retirement Advisory
1,988,1_taxi_transportation_vehicles_booking,"['taxi', 'transportation', 'vehicles', 'booking', 'transfers', 'executive', 'travel', 'reliable efficient', 'payment options', 'different needs']","['We are a taxi company that provides services in Harrow and surrounding areas. We offer a range of services including airport transfers, day trips, and corporate travel. Our goal is to provide reliable, efficient, and cost-effective transportation solutions to our customers. We have a fleet of vehicles and a team of experienced drivers who are dedicated to providing excellent customer service. We also offer online booking and a mobile app for easy access. Our services include:\n- Airport transfers to and from major airports\n- Day trips and excursions\n- Corporate travel and events\n- Wedding transportation\n- Hourly and daily rentals\nWe strive to provide the best possible service to our customers, with a focus on safety, comfort, and reliability.', 'a2b taxicabs is a transportation company that offers taxi services. They have a fleet of over 50 vehicles and provide various services, including local transportation, accessible taxis, school runs, and long-distance trips. They also offer airport transfers and have a range of vehicles to accommodate different needs. The company prides itself on its reliability, punctuality, and customer service. They have a team of drivers who are DBS-checked and provide a safe and comfortable journey for their customers. a2b taxicabs also offers a booking service, allowing customers to book their taxis in advance. They have a strong reputation in the community, with many positive reviews from satisfied customers.', ""Wrexham and Prestige Taxis has been serving the local industry since 1985. \nMark Coates, director, has over 30 years of experience in the taxi trade. \nThe company has expanded its fleet to become the largest in North Wales, with over 100 vehicles. \nThey offer a range of services including airport transfers, mini buses, executive hire, wedding cars, and disabled access. \nTheir fleet includes prestige saloon cars, mini buses, and disabled access vehicles. \nThey have a fully computerized booking system with GPS tracking and a 24/7 operation. \nThey pride themselves on giving excellent customer service, with a callback facility and textback on bookings. \nThey offer internet booking with individual user names and passwords, and accounts can be opened for invoicing. \nThe company has a large client base of blue-chip companies and provides a first-class service. \nThey also offer a range of services for cooperate events and special occasions. \nTheir drivers are CRB checked, and vehicles are checked within the guidelines of the Road Traffic Act 2006. \nThey are fully covered for all legal aspects, with vehicle insurers, public liability, and employers' liability. \nTheir drivers' working hours are regulated to ensure customer safety.""]",Transportation / Taxi Services 
2,842,2_promotional_gift_supplies_accessories,"['promotional', 'gift', 'supplies', 'accessories', 'goods', 'buying selling', 'suppliers', 'commerce', 'vouchers', 'discounts']","['The business offers a wide range of products, including writing instruments, notebooks, office supplies, technology accessories, drinkware, bags, novelties, confectionery, tools, health and wellness products, outdoor gear, and clothing. \nThey also provide eco-friendly products and various promotional items. \nTheir product categories include express items, premium notebooks, executive notebooks, pocket notebooks, notebook packaging, conference folders, office supplies, rulers, pencil cases, erasers, badges, business card holders, clocks, accessories, technology products, chargers, USBs, sound systems, mouse mats, tech accessories, drinkware, mugs, sports bottles, vacuum bottles, bags, expo bags, shoppers, leisure items, novelties, lanyards, wristbands, trolley coins, keyrings, bottle openers, coasters, barware, lighters, fun items, hotel supplies, bookmarks, magnets, Christmas items, confectionery, mints, chocolates, sweets, tools, tape measures, torches, health products, stress relief items, personal care products, awards, image blocks, outdoor gear, umbrellas, travel accessories, air fresheners, golf items, and eco-friendly products.', 'Wholesale Clearance UK is a business that sells surplus stock to customers. They offer a wide range of products, including clothing, accessories, and home goods, at discounted prices. The company buys stock from various suppliers, including liquidated businesses and manufacturers, and sells it to customers through their website. They also provide a platform for sellers to list their products.\n\nThe business model involves purchasing stock in bulk and selling it to customers at a lower price. They offer a variety of products, including branded and unbranded items, and customers can browse and purchase products through their website.\n\nWholesale Clearance UK aims to provide customers with a convenient and affordable way to purchase surplus stock. They offer a user-friendly website, competitive pricing, and a wide range of products.', 'PA Promotions is a company that offers a wide range of promotional products, including branded items such as pens, mugs, bags, and clothing. They provide products for various industries and occasions. Their products include eco-friendly options. \nThey offer customization services, including logo printing. \nTheir products cater to different needs and preferences. \nThey provide products for various industries, including business, events, and marketing. \nTheir products include promotional items, gifts, and merchandise. \nThey offer a variety of products, including clothing, accessories, and home goods. \nTheir products are designed to promote businesses, events, and causes. \nThey offer a range of services, including design, printing, and delivery. \nTheir goal is to provide high-quality products and services to their customers.']",Promotional Goods & Corporate Gifts 
3,510,3_cars_leasing_financing_lenders,"['cars', 'leasing', 'financing', 'lenders', 'manufacturers', 'hire', 'broker', 'competitive rates', 'auto', 'offer competitive']","['At Commercial Vehicle Contracts, we provide a range of services including vehicle leasing, contract hire, and fleet management. We work with various manufacturers to offer a wide selection of vehicles for different needs. Our services include van leasing, car leasing, and commercial vehicle leasing. We also provide financing options and vehicle management solutions.\n\nWe offer a variety of vehicles, including vans, cars, and commercial vehicles, from different manufacturers. Our services cater to individuals and businesses, providing flexible financing options and vehicle management solutions.\n\nOur goal is to provide customers with a comprehensive range of vehicle solutions, including leasing, financing, and management services. We work closely with our customers to understand their needs and provide tailored solutions.', ""Pegasus Finance offers various financial services, including motorhome, campervan, and horsebox financing. They provide loans for different types of vehicles and equipment, with flexible repayment terms and competitive interest rates. The company acts as a broker, working with multiple lenders to find the best deals for its customers. They also offer financing options for private buyers and businesses.\n\nThe company provides financing for various types of vehicles, including motorhomes, campervans, and horseboxes. They offer loans with repayment terms ranging from 12 to 120 months and interest rates from 5.9% to 49% APR. The company also provides financing for other types of equipment and vehicles, such as boats and classic cars.\n\nPegasus Finance aims to provide quick and easy approval processes, with loans approved within 60 minutes of submitting an application. The company also offers a range of services, including financing for private buyers and businesses, and provides support for customers throughout the loan process.\n\nThe company's website provides information on their services, including financing options, interest rates, and repayment terms. They also offer a calculator tool to help customers determine their monthly payments and loan amounts.\n\nOverall, Pegasus Finance appears to be a comprehensive financial services provider, offering a range of financing options for various types of vehicles and equipment."", 'With over 30 years of experience in the motor trade, we offer a wide range of commercial vehicles, including new and used vans, and provide various finance options such as contract hire, personal contract purchase, and finance lease. \nOur team of experts will work with you to find the right vehicle and finance package to suit your needs. \nWe offer a range of services including vehicle leasing, finance, and contract hire, and our team will guide you through the process to ensure you get the best deal. \nWe are authorised and regulated by the Financial Conduct Authority and are a credit broker, not a lender.']",Car Leasing & Auto Finance Brokers
4,178,4_recruitment_roles_hr_accountancy,"['recruitment', 'roles', 'hr', 'accountancy', 'agencies', 'understand needs tailored', 'various sectors', 'working clients', 'building strong relationships', 'tips']","[""Edward Mann is a recruitment agency specializing in finance and accounting. They provide services to both employers and job seekers, offering a range of positions from entry-level to senior roles. The agency works with various clients across different industries, including commerce, finance, and technology. They focus on matching candidates with suitable jobs and providing career development opportunities.\n\nThe agency offers various roles, including financial controller, accountant, and management positions. They work with clients to understand their recruitment needs and provide tailored solutions. Edward Mann's services include job search, career advice, and recruitment consultancy.\n\nThe agency emphasizes its expertise in finance and accounting recruitment, with a team of specialists who understand the industry and market trends. They provide support to both employers and job seekers, helping them navigate the recruitment process and find suitable opportunities.\n\nEdward Mann's goal is to provide effective recruitment solutions that meet the needs of both employers and job seekers. They focus on delivering high-quality service, ensuring that clients and candidates have a positive experience."", ""Alexander Daniels is a recruitment agency specializing in finance professionals. They offer various services, including permanent and temporary job placements, and work with clients across different industries. The agency provides expertise in areas such as accountancy, finance, and recruitment, with a focus on understanding clients' needs and providing tailored solutions. They also offer advisory services and support for businesses and individuals.\n\nThe company provides recruitment services for various roles, including clerical and transactional, part-qualified, qualified, senior, and executive positions, as well as transformation and change management. They work with clients to understand their needs and provide suitable candidates.\n\nAlexander Daniels aims to provide high-quality recruitment services, with a focus on building long-term relationships with clients and candidates. The agency's goal is to help businesses find the right talent and support individuals in their career development.\n\nThe company also offers a range of resources and support services, including news and updates on the recruitment industry, as well as information on their services and expertise."", ""Marshall Douglas is a recruitment agency specializing in strategy, finance, and communications. They provide executive search services, helping clients find top talent for various roles. The agency works with a range of businesses, from small companies to large corporations, and offers a personalized approach to recruitment. They have a team of experienced consultants who work closely with clients to understand their needs and provide tailored solutions. Marshall Douglas focuses on building long-term relationships with clients and candidates, and they pride themselves on their expertise and knowledge of the market.\n\nThe agency offers a range of services, including retained search, advertised selection, and contingent recruitment. They work with clients across various industries, including finance, healthcare, technology, and more. Marshall Douglas aims to provide high-quality candidates and exceptional customer service, and they have built a reputation as a trusted partner for businesses and individuals alike.\n\nThe company's approach is centered around understanding the needs of its clients and candidates, and providing personalized solutions to meet those needs. They have a strong focus on building relationships and providing exceptional customer service, and they aim to be a trusted partner for businesses and individuals looking for recruitment services.""]",Recruitment & HR Agencies
5,139,5_regulation_finances_organization_loan,"['regulation', 'finances', 'organization', 'loan', 'regulated conduct', 'regulated conduct authority', 'competitive rates', 'local community', 'ethical', 'encourage']","[""The 6towns credit union offers various financial services, including loans, savings accounts, and current accounts. They provide an engage card, priority rent account, and savings options like the savings plus account. The credit union also offers loan options, including standard loans and household loans. Additionally, they provide online banking services, allowing members to manage their accounts and access various financial tools.\n\nThe credit union's goal is to provide affordable financial services to its members, with a focus on helping those who may not have access to traditional banking services. They offer a range of accounts, including current accounts, savings accounts, and loan options, all designed to meet the needs of their members.\n\nThe credit union is regulated by the Financial Conduct Authority (FCA) and the Prudential Regulation Authority (PRA), ensuring that members' funds are protected. They also offer various resources, including financial education and support, to help members manage their finances effectively."", 'Manchester Credit Union offers various financial services, including loans, savings accounts, and insurance. They provide different types of loans, such as personal loans, holiday loans, and car loans, with varying interest rates and repayment terms. The organization also offers savings accounts, Christmas clubs, and other financial products. Additionally, they have a mobile app for customers to manage their accounts and access various services.\n\nThe Manchester Credit Union has multiple branches located in different areas, including Manchester, Wythenshawe, Rochdale, and Stretford. They offer services such as debt advice, budgeting, and financial planning to help customers manage their finances effectively.\n\nThe organization is regulated by the Financial Conduct Authority and the Prudential Regulation Authority, ensuring that they operate in a fair and transparent manner. They also have a strong online presence, allowing customers to access their accounts, apply for loans, and manage their finances remotely.', 'The Barrow & District Credit Union is an ethical, not-for-profit financial cooperative that serves its members in Barrow and South West Cumbria with savings and loans facilities. \nIt offers an alternative to high-profit lenders and aims to stamp out loan sharks by providing affordable and manageable credit. \nThe credit union provides savings products that are protected by the Financial Services Compensation Scheme and loan products that are assessed based on affordability. \nIt also offers free life insurance on savings up to a certain amount. \nThe organization is authorized and regulated by the Financial Conduct Authority and the Prudential Regulation Authority.']",Credit Unions & Ethical Community Finance
6,132,6_mis_claims management_pensions_compensation,"['mis', 'claims management', 'pensions', 'compensation', 'protection insurance', 'refunds', 'outcome', 'specializes helping', 'lenders', 'regulated conduct authority']","[""Goodwin Barrett is a claims management company that helps people who have lost money due to mis-sold investments or pensions. They provide a service to help individuals claim back their money from banks and financial institutions. The company offers a hassle-free process, with a dedicated claims expert to help clients through the process. They have helped thousands of people win compensation and have a successful track record of reclaiming money for their clients. \n\nGoodwin Barrett offers a free service to help people who have lost money due to mis-sold investments or pensions. They provide a simple and straightforward process to help clients claim back their money. The company has a team of experts who will help clients through the process and provide them with the best possible chance of success.\n\nThe company helps with a range of mis-sold investments and pensions, including stocks and shares ISAs, unit trusts, investment bonds, and personal pensions. They also help with mis-sold SIPPs and other types of pension investments.\n\nGoodwin Barrett has a successful track record of reclaiming money for their clients. They have helped thousands of people win compensation and have a reputation for being a trustworthy and reliable company.\n\nThe company offers a free consultation to discuss the possibility of making a claim. They will review the client's case and provide a no-obligation assessment of their chances of success.\n\nGoodwin Barrett is a reputable company with a proven track record of success. They have a team of experienced professionals who are dedicated to helping clients claim back their money."", 'Financial Recovery Solutions Ltd is a claims management company that specializes in helping customers recover money from mis-sold financial products, particularly payment protection insurance (PPI). \nThe company provides a service where they handle claims on behalf of their clients, aiming to make the process as easy as possible. \nThey have a strong focus on customer service and have helped numerous clients receive compensation. \nThe company is authorized and regulated by the Financial Conduct Authority.', 'At Brazier Consulting Services, we take the time to understand and relate to each and every client to give them the best experience possible. \nWe are a claims management company that helps clients with Payment Protection Insurance (PPI), Packaged Bank Accounts (PBA), and Personal Contract Purchase (PCP) claims. \nOur services include helping clients to recover mis-sold PPI, PBA, and PCP, and we work on a no-win, no-fee basis. \nWe are regulated by the Financial Conduct Authority (FCA) and are committed to providing a professional and personalized service to our clients. \nOur goal is to help clients to recover the compensation they are entitled to, and we work tirelessly to ensure that our clients receive the best possible outcome. \nWe offer a free consultation to discuss your claim and provide a no-obligation assessment of your case. \nOur team of experts has years of experience in the claims management industry and has helped numerous clients to successfully recover their compensation.']",Claims Management for Mis-Sold Financial Products
7,73,7_relief_hmrc_submitting_eligible,"['relief', 'hmrc', 'submitting', 'eligible', 'helping businesses', 'expenses', 'tailored support', 'accountants', 'initial consultation', 'clients receive']","[""Kapitalise helps businesses with R&D tax credits, making the process simple and stress-free. They offer a quick and efficient service, with a 100% success rate for their clients. Kapitalise's team of experts helps businesses identify qualifying expenditure and maximizes their R&D tax credits. They work with various industries, including technology, healthcare, and finance. Kapitalise's services include helping businesses claim R&D tax credits, identifying qualifying projects, and providing expert advice throughout the process.\n\nTheir team helps businesses understand the R&D tax credit scheme and ensures they receive the maximum amount of relief. Kapitalise's services are designed to be efficient and hassle-free, allowing businesses to focus on their core activities. They pride themselves on their expertise and customer service, ensuring that their clients receive the best possible support.\n\nKapitalise's clients praise their service, citing their expertise, efficiency, and excellent customer service. The company has helped numerous businesses across various industries, providing them with valuable R&D tax credits. Kapitalise's goal is to make the R&D tax credit process simple and stress-free, allowing businesses to focus on their core activities.\n\nTheir services include:\n- Helping businesses claim R&D tax credits\n- Identifying qualifying projects\n- Providing expert advice throughout the process\n\nKapitalise's team of experts has a deep understanding of the R&D tax credit scheme and ensures that their clients receive the maximum amount of relief. They work closely with their clients to understand their business and identify areas where they can claim R&D tax credits."", 'Our team of experts specializes in R&D tax credits, helping businesses maximize their claims. \nWe offer a unique combination of technical and accounting expertise, \nensuring our clients receive the best possible service. \nOur team is led by innovators with real front-line business experience, \nsupported by skilled accounting professionals. \nWe help businesses identify eligible projects, \nprepare and submit claims, and represent them in discussions with HMRC. \nOur goal is to make the process as smooth and hassle-free as possible, \nallowing businesses to focus on what they do best. \nWe pride ourselves on our success rate and customer satisfaction, \nwith many testimonials from happy clients. \nOur services include R&D tax credits, capital allowances, \ncontaminated land tax relief, and patent box claims. \nWe work closely with our clients to understand their needs, \nidentify opportunities, and deliver results.', ""Cooden Tax Consulting specializes in research and development (R&D) tax relief, helping businesses claim back taxes on innovative projects. They provide expert advice on R&D tax credits, patent box relief, and video game tax relief. Their services include determining eligibility, preparing claims, and ensuring compliance with HMRC regulations. With a focus on maximizing tax relief, they help businesses in various industries, from technology and manufacturing to creative sectors.\n\nTheir team of experts guides clients through the process, from initial consultation to claim submission. They offer tailored support, ensuring clients receive the maximum benefit from their R&D activities. By leveraging their expertise, businesses can reduce their tax liabilities and improve their cash flow.\n\nCooden Tax Consulting's services include:\n- R&D tax credit claims\n- Patent box relief\n- Video game tax relief\n- Expert advice on HMRC regulations\n- Tailored support for various industries\n\nTheir goal is to help businesses optimize their tax position, ensuring they receive the benefits they deserve for their innovative work.""]",Tax Relief & HMRC Advisory Services
8,65,8_suppliers_agriculture_sustainability_produce,"['suppliers', 'agriculture', 'sustainability', 'produce', 'goods', 'cash flow', 'various aspects', 'innovative solutions', 'enterprises', 'goal support']","['The magazine focuses on farm diversification, providing articles, case studies, and advice for farmers. \nIt covers topics such as agriculture, ground care, and education and training. \nThe content aims to support farmers in innovative methods to diversify their land, \nincluding success stories and consultancy services.', 'Southern Farmers Ltd is a not-for-profit agricultural buying group based in the South East of England. The company is member-owned and governed by a board of directors. Its purpose is to assemble a body for bigger buying power and offer a simplified accounting system, saving time and money for farmers and the agricultural industry. \n\nThe company provides a platform for members to purchase goods and services from approved suppliers, offering a range of benefits, including efficient billing, a single monthly payment, and access to a knowledgeable purchasing team. Members can also take advantage of preferential rates from suppliers and a dedicated accounts team.\n\nSouthern Farmers Ltd aims to provide a useful service to its members by offering a one-stop-shop for their agricultural needs. The company generates revenue through annual membership fees and a percentage of transactions made through its platform.\n\nThe company has a simple and transparent business model, with a focus on providing excellent customer service and building strong relationships with its members and suppliers.', 'The magazine covers topics such as farm equipment, soil management, and livestock care. \nIt provides practical advice and innovative solutions for farmers, including articles on no-till farming, cover cropping, and farm safety. \nThe publication also features homemade projects, DIY equipment modifications, and cost-saving ideas for farmers. \nAdditionally, it offers insights into farm management, financial planning, and market trends. \nThe magazine aims to support farmers in improving their productivity, efficiency, and sustainability.']",Agriculture Supply Chain & Sustainability Services
